ID,ValorTotal,Area,DiasOriginaisDoContrato,DiasAditados,DiasParalisados,ValorOriginalDoContrato,ValorTotalDoContrato,ValorDosReajustes,ValorAditado,ValorMedido
4,74927.06,Educação,30,0,0,74927.06,74927.06,0,0,59941.65
15,54889.56,Educação,102,0,0,54889.56,54889.56,0,0,46298.02
16,117231.34,Educação,20,0,0,28500,28500,0,0,0
23,7806.14,Educação,30,0,0,7806.14,7806.14,0,0,0
27,37388,Agricultura,60,0,0,37388,37388,0,0,0
28,37388,Agricultura,60,0,0,37388,37388,0,0,0
29,14992.02,Educação,111,0,0,14992.02,14992.02,0,0,0
32,10859.3,Educação,128,0,0,10859.3,10859.3,0,0,0
35,75220.06,Transporte Rodoviário,60,0,0,51470.06,51470.06,0,0,0
36,75220.06,Transporte Rodoviário,30,0,0,23750,23750,0,0,23749.98
37,8377.12,Educação,60,0,0,8377.12,8377.12,0,0,0
38,54936.88,Defesa Civil,117,0,0,54936.88,54936.88,0,0,44748.74
39,21148,Educação,130,0,0,21148,21148,0,0,0
40,198910.31,Educação,124,0,0,31062.24,31062.24,0,0,0
41,198910.31,Educação,124,0,0,23135.57,23135.57,0,0,12089.11
42,352115,Transporte Rodoviário,90,0,0,86500,86500,0,0,0
44,43771.17,Educação,60,0,0,43771.17,43771.17,0,0,0
45,95089.8,Defesa Civil,132,0,0,95089.8,95089.8,0,0,47850.18
46,189738.16,Defesa Civil,60,0,0,189738.16,189738.16,0,0,39733.88
48,1899274.12,Saúde,60,0,0,13718.58,13718.58,0,0,0
50,53970,Transporte Rodoviário,2017,0,0,2490,2490,0,0,0
51,66827.49,Segurança Pública,60,0,0,66827.49,66827.49,0,0,15000.24
52,2623283.13,Educação,300,0,0,2623283.13,2623283.13,0,0,205970.63
53,2623283.13,Educação,300,0,0,2623283.13,2623283.13,0,0,205970.63
54,1914500.33,Educação,240,0,0,1914500.33,1914500.33,0,0,0
55,1914500.33,Educação,240,0,0,1914500.33,1914500.33,0,0,0
56,628413.09,Transporte Rodoviário,167,0,0,181100,181100,0,0,100544.22
57,463850,Transporte Rodoviário,146,0,0,123850,123850,0,0,92613.65
58,463850,Transporte Rodoviário,146,0,0,123850,123850,0,0,92613.65
59,463850,Transporte Rodoviário,146,0,0,123850,123850,0,0,92613.65
62,387078.9,Justiça e Cidadania,180,0,0,387078.9,387078.9,0,0,64516.45
63,98137.6,Educação,220,0,0,98137.6,98137.6,0,0,63632.03
64,77998.3,Transporte Rodoviário,150,0,0,77998.3,77998.3,0,0,15248.41
65,77998.3,Transporte Rodoviário,150,0,0,77998.3,77998.3,0,0,15248.41
66,77998.3,Transporte Rodoviário,150,0,0,77998.3,77998.3,0,0,15248.41
67,77998.3,Transporte Rodoviário,150,0,0,77998.3,77998.3,0,0,15248.41
68,77998.3,Transporte Rodoviário,150,0,0,77998.3,77998.3,0,0,15248.41
70,297584.5,Educação,330,0,0,297584.5,297584.5,0,0,158980.61
71,89988.21,Educação,150,0,0,89988.21,89988.21,0,0,0
73,108890,Transporte Rodoviário,180,0,0,59900,59900,0,0,19758.74
74,108890,Transporte Rodoviário,180,0,0,59900,59900,0,0,19758.74
75,108890,Transporte Rodoviário,180,0,0,59900,59900,0,0,19758.74
76,108890,Transporte Rodoviário,180,0,0,59900,59900,0,0,19758.74
79,299971.26,Transporte Rodoviário,158,0,0,299971.26,299971.26,0,0,294694.23
80,299971.26,Transporte Rodoviário,158,0,0,299971.26,299971.26,0,0,294694.23
81,299971.26,Transporte Rodoviário,158,0,0,299971.26,299971.26,0,0,294694.23
82,50570.15,Segurança Pública,152,0,0,50570.15,50570.15,0,0,0
83,499611.71,Saúde,300,0,0,113135.51,113135.51,0,0,5426.1
